label,value
"CPT - Cape Town, South Africa (Republic Of South Africa And Transkei)",CPT
"CRP - Corpus Christi, Texas, USA (United States)",CRP
"CRW - Charleston, West Virginia, USA (United States)",CRW
"CSG - Columbus, Georgia, USA (United States)",CSG
"CSX - Changsha, China (China)",CSX
"CTA - Catania, Italy (Italy)",CTA
"CTS - Sapporo, Japan (Japan)",CTS
"CUL - Culiacan, Mexico (Mexico)",CUL
"CUN - Cancun, Mexico (Mexico)",CUN
"CUR - Curacao, Neth. Antilles (Netherlands Antilles-Netherlands)",CUR
"CUU - Chihuahua, Mexico (Mexico)",CUU
"CVG - Cincinnati, Ohio, USA (United States)",CVG
"CWA - WaUSAu, Wisconsin, USA (United States)",CWA
"CWL - Cardiff, Wales, (U.K.) (United Kingdom)",CWL
"CZM - Cozumel, Mexico (Mexico)",CZM
"DAB - Daytona Beach, Florida, USA (United States)",DAB
"DAL - Dallas/Ft.Worth, Texas, USA (United States)",DAL
"DAR - Dar Es Salaam, Tanzania (Tanzania)",DAR
"DAY - Dayton, Ohio, USA (United States)",DAY
"DBQ - Dubuque, Iowa, USA (United States)",DBQ
"DCA - Washington, D.C., USA (United States)",DCA
"DEL - Delhi, India (India)",DEL
"DEN - Denver, Colorado, USA (United States)",DEN
"DFW - Dallas/Ft.Worth, Texas, USA (United States)",DFW
"DHN - Dothan, Alabama, USA (United States)",DHN
"DLA - Douala, Cameroon (Cameroons)",DLA
"DLC - Dalian, China (China)",DLC
"DLH - Duluth, Minnesota, USA (United States)",DLH
"DMM - Dammam, Saudi Arabia (Saudi Arabia)",DMM
"DOH - Doha, Qatar (Qatar)",DOH
"DSM - Des Moines, Iowa, USA (United States)",DSM
"​DSS - ​Dakar, Senegal (​Senegal)",​DSS
"DTW - Detroit, Michigan, USA (United States)",DTW
"DUB - Dublin, Republic Of Ireland (Ireland)",DUB
"DUS - Dusseldorf, Germany (Germany)",DUS
"DVL - Devils Lake, North Dakota, USA (United States)",DVL
"DXB - Dubai, U. A. Emirates (United Arab Emirates)",DXB
"EAU - Eau Claire, Wisconsin, USA (United States)",EAU
"EBB - Entebbe/Kampala, Uganda (Uganda)",EBB
"ECP - Panama City, Florida (United States)",ECP
 - New - Northwest Florida Beaches International Airport (),
"EDI - Edinburgh, Scotland, (U.K.) (United Kingdom)",EDI
"EGE - Eagle, Colorado, USA (United States)",EGE
"EKO - Elko, Nevada, USA (United States)",EKO
"ELM - Elmira, New York, USA (United States)",ELM
"ELP - El Paso, Texas, USA (United States)",ELP
"ERI - Erie, Pennsylvania, USA (United States)",ERI
"ESC - Escanaba, Michigan, USA (United States)",ESC
"EUG - Eugene, Oregon, USA (United States)",EUG
"EVV - Evansville, Indiana, USA (United States)",EVV
"EWN - New Bern, North Carolina, USA (United States)",EWN
"EWR - Newark, New Jersey, USA (United States)",EWR
"EYW - Key West, Florida, USA (United States)",EYW
"EZE - Buenos Aires, Arg. (Argentina)",EZE
"FAI - Fairbanks, Alaska, USA (United States)",FAI
"FAR - Fargo, North Dakota, USA (United States)",FAR
"FAT - Fresno, California, USA (United States)",FAT
"FAY - Fayetteville, North Carolina, U (United States)",FAY
"FCA - Kalispell, Montana, USA (United States)",FCA
"FCO - Rome, Italy. (Italy)",FCO
"FLG - Flagstaff, Arizona, USA (United States)",FLG
"FLL - Ft. Lauderdale, Florida, USA (United States)",FLL
